x	y
475	0.006540
476	-17.493453
477	-34.247213
478	-50.267401
479	-65.566593
480	-80.157278
481	-94.051861
482	-107.262662
483	-119.801915
484	-131.681769
485	-142.914288
486	-153.511450
487	-163.485150
488	-172.847195
489	-181.609308
490	-189.783127
491	-197.380205
492	-204.412007
493	-210.889918
494	-216.825232
495	-222.229163
496	-227.112835
497	-231.487291
498	-235.363485
499	-238.752289
500	-241.664488
501	-244.110782
502	-246.101786
503	-247.648029
504	-248.759956
505	-249.447926
506	-249.722213
507	-249.593006
508	-249.070407
509	-248.164437
510	-246.885026
511	-245.242024
512	-243.245192
513	-240.904209
514	-238.228665
515	-235.228068
516	-231.911839
517	-228.289315
518	-224.369747
519	-220.162301
520	-215.676057
521	-210.920011
522	-205.903073
523	-200.634067
524	-195.121735
525	-189.374729
526	-183.401619
527	-177.210890
528	-170.810940
529	-164.210082
530	-157.416545
531	-150.438473
532	-143.283921
533	-135.960865
534	-128.477189
535	-120.840698
536	-113.059107
537	-105.140049
538	-97.091069
539	-88.919629
540	-80.633105
541	-72.238788
542	-63.743882
543	-55.155509
544	-46.480703
545	-37.726414
546	-28.899507
547	-20.006760
548	-11.054869
549	-2.050441
550	7.000000
551	16.090015
552	25.213251
553	34.363441
554	43.534401
555	52.720034
556	61.914329
557	71.111357
558	80.305279
559	89.490336
560	98.660857
561	107.811258
562	116.936036
563	126.029777
564	135.087150
565	144.102910
566	153.071897
567	161.989037
568	170.849340
569	179.647902
570	188.379904
571	197.040613
572	205.625381
573	214.129643
574	222.548922
575	230.878826
576	239.115046
577	247.253361
578	255.289633
579	263.219812
580	271.039930
581	278.746105
582	286.334543
583	293.801531
584	301.143446
585	308.356745
586	315.437974
587	322.383763
588	329.190828
589	335.855969
590	342.376072
591	348.748107
592	354.969132
593	361.036287
594	366.946800
595	372.697982
596	378.287231
597	383.712029
598	388.969943
599	394.058628
600	398.975820
601	403.719343
602	408.287107
603	412.677104
604	416.887414
605	420.916201
606	424.761716
607	428.422291
608	431.896349
609	435.182393
610	438.279014
611	441.184889
612	443.898778
613	446.419528
614	448.746069
615	450.877419
616	452.812679
617	454.551037
618	456.091765
619	457.434220
620	458.577846
621	459.522171
622	460.266807
623	460.811454
624	461.155895
625	461.300000
626	461.243722
627	460.987102
628	460.530263
629	459.873416
630	459.016856
631	457.960964
632	456.706204
633	455.253129
634	453.602375
635	451.754661
636	449.710797
637	447.471672
638	445.038264
639	442.411637
640	439.592936
641	436.583395
642	433.384332
643	429.997150
644	426.423339
645	422.664470
646	418.722204
647	414.598285
648	410.294542
649	405.812890
650	401.155328
651	396.323942
652	391.320903
653	386.148465
654	380.808970
655	375.304844
656	369.638598
657	363.812829
658	357.830218
659	351.693533
660	345.405626
661	338.969433
662	332.387979
663	325.664371
664	318.801802
665	311.803551
666	304.672981
667	297.413542
668	290.028767
669	282.522275
670	274.897772
671	267.159047
672	259.309976
673	251.354518
674	243.296719
675	235.140711
676	226.890708
677	218.551013
678	210.126011
679	201.620175
680	193.038062
681	184.384313
682	175.663656
683	166.880904
684	158.040955
685	149.148792
686	140.209483
687	131.228181
688	122.210127
689	113.160643
690	104.085139
691	94.989110
692	85.878136
693	76.757880
694	67.634095
695	58.512615
696	49.399360
697	40.300338
698	31.221638
699	22.169439
700	13.150000
701	4.169669
702	-4.765121
703	-13.647853
704	-22.471926
705	-31.230650
706	-39.917253
707	-48.524877
708	-57.046578
709	-65.475327
710	-73.804010
711	-82.025428
712	-90.132297
713	-98.117246
714	-105.972821
715	-113.691482
716	-121.265602
717	-128.687472
718	-135.949296
719	-143.043192
720	-149.961195
721	-156.695251
722	-163.237226
723	-169.578895
724	-175.711954
725	-181.628007
726	-187.318579
727	-192.775106
728	-197.988939
729	-202.951345
730	-207.653506
731	-212.086517
732	-216.241390
733	-220.109050
734	-223.680336
735	-226.946005
736	-229.896727
737	-232.523085
738	-234.815579
739	-236.764623
740	-238.360547
741	-239.593594
742	-240.453923
743	-240.931606
744	-241.016631
745	-240.698902
746	-239.968237
747	-238.814366
748	-237.226937
749	-235.195513
750	-232.709570
751	-229.758498
752	-226.331604
753	-222.418110
754	-218.007150
755	-213.087775
756	-207.648951
757	-201.679556
758	-195.168386
759	-188.104151
760	-180.475474
761	-172.270895
762	-163.478867
763	-154.087758
764	-144.085853
765	-133.461349
766	-122.202359
767	-110.296911
768	-97.732946
769	-84.498322
770	-70.580812
771	-55.968100
772	-40.647790
773	-24.607397
774	-7.834351
775	9.684000
