x	y
475	0.006540
476	6.104574
477	12.162035
478	18.178922
479	24.155235
480	30.090974
481	35.986140
482	41.840732
483	47.654750
484	53.428194
485	59.161065
486	64.853362
487	70.505085
488	76.116234
489	81.686810
490	87.216812
491	92.706240
492	98.155094
493	103.563375
494	108.931082
495	114.258215
496	119.544774
497	124.790759
498	129.996171
499	135.161009
500	140.285274
501	145.368964
502	150.412081
503	155.414624
504	160.376593
505	165.297989
506	170.178811
507	175.019059
508	179.818733
509	184.577833
510	189.296360
511	193.974313
512	198.611692
513	203.208498
514	207.764730
515	212.280388
516	216.755472
517	221.189982
518	225.583919
519	229.937282
520	234.250071
521	238.522287
522	242.753928
523	246.944996
524	251.095491
525	255.205411
526	259.274758
527	263.303531
528	267.291730
529	271.239355
530	275.146407
531	279.012885
532	282.838789
533	286.624120
534	290.368876
535	294.073059
536	297.736668
537	301.359704
538	304.942165
539	308.484053
540	311.985367
541	315.446108
542	318.866275
543	322.245867
544	325.584887
545	328.883332
546	332.141204
547	335.358501
548	338.535226
549	341.671376
550	344.766953
551	347.821955
552	350.836384
553	353.810240
554	356.743521
555	359.636229
556	362.488363
557	365.299924
558	368.070910
559	370.801323
560	373.491162
561	376.140427
562	378.749119
563	381.317237
564	383.844781
565	386.331751
566	388.778148
567	391.183971
568	393.549220
569	395.873895
570	398.157996
571	400.401524
572	402.604478
573	404.766858
574	406.888665
575	408.969898
576	411.010557
577	413.010642
578	414.970154
579	416.889091
580	418.767455
581	420.605246
582	422.402462
583	424.159105
584	425.875174
585	427.550669
586	429.185590
587	430.779938
588	432.333712
589	433.846912
590	435.319539
591	436.751592
592	438.143070
593	439.493976
594	440.804307
595	442.074065
596	443.303249
597	444.491859
598	445.639895
599	446.747358
600	447.814247
601	448.840562
602	449.826304
603	450.771471
604	451.676065
605	452.540085
606	453.363532
607	454.146404
608	454.888703
609	455.590428
610	456.251580
611	456.872157
612	457.452161
613	457.991591
614	458.490448
615	458.948730
616	459.366439
617	459.743574
618	460.080136
619	460.376123
620	460.631537
621	460.846377
622	461.020644
623	461.154336
624	461.247455
625	461.300000
626	461.311971
627	461.283369
628	461.214193
629	461.104443
630	460.954119
631	460.763222
632	460.531750
633	460.259705
634	459.947087
635	459.593894
636	459.200128
637	458.765788
638	458.290874
639	457.775387
640	457.219326
641	456.622691
642	455.985482
643	455.307699
644	454.589343
645	453.830413
646	453.030909
647	452.190832
648	451.310181
649	450.388956
650	449.427157
651	448.424784
652	447.381838
653	446.298318
654	445.174224
655	444.009557
656	442.804316
657	441.558500
658	440.272112
659	438.945149
660	437.577613
661	436.169503
662	434.720819
663	433.231561
664	431.701730
665	430.131325
666	428.520346
667	426.868794
668	425.176667
669	423.443967
670	421.670693
671	419.856846
672	418.002424
673	416.107429
674	414.171860
675	412.195718
676	410.179001
677	408.121711
678	406.023847
679	403.885410
680	401.706398
681	399.486813
682	397.226654
683	394.925922
684	392.584615
685	390.202735
686	387.780281
687	385.317254
688	382.813652
689	380.269477
690	377.684728
691	375.059405
692	372.393509
693	369.687039
694	366.939995
695	364.152377
696	361.324186
697	358.455421
698	355.546082
699	352.596169
700	349.605683
701	346.574622
702	343.502988
703	340.390781
704	337.237999
705	334.044644
706	330.810715
707	327.536212
708	324.221136
709	320.865485
710	317.469261
711	314.032464
712	310.555092
713	307.037147
714	303.478628
715	299.879535
716	296.239869
717	292.559628
718	288.838814
719	285.077427
720	281.275465
721	277.432930
722	273.549821
723	269.626138
724	265.661881
725	261.657051
726	257.611647
727	253.525669
728	249.399118
729	245.231992
730	241.024293
731	236.776020
732	232.487174
733	228.157754
734	223.787759
735	219.377192
736	214.926050
737	210.434335
738	205.902046
739	201.329183
740	196.715746
741	192.061736
742	187.367152
743	182.631994
744	177.856262
745	173.039957
746	168.183078
747	163.285625
748	158.347598
749	153.368998
750	148.349824
751	143.290076
752	138.189754
753	133.048859
754	127.867389
755	122.645347
756	117.382730
757	112.079539
758	106.735775
759	101.351437
760	95.926526
761	90.461040
762	84.954981
763	79.408348
764	73.821141
765	68.193361
766	62.525007
767	56.816079
768	51.066577
769	45.276502
770	39.445852
771	33.574629
772	27.662833
773	21.710462
774	15.717518
775	9.684000
