x	y
475	0.006540
476	-383.447226
477	-678.408132
478	-897.650752
479	-1052.576035
480	-1153.327048
481	-1208.896964
482	-1227.229695
483	-1215.313592
484	-1179.268553
485	-1124.426941
486	-1055.408628
487	-976.190517
488	-890.170850
489	-800.228608
490	-708.778297
491	-617.820389
492	-528.987688
493	-443.587871
494	-362.642443
495	-286.922337
496	-216.980377
497	-153.180797
498	-95.726044
499	-44.681014
500	0.005077
501	38.479020
502	70.965998
503	97.753850
504	119.179100
505	135.614592
506	147.458621
507	155.125429
508	159.036963
509	159.615773
510	157.278970
511	152.433136
512	145.470095
513	136.763480
514	126.665996
515	115.507328
516	103.592608
517	91.201397
518	78.587100
519	65.976785
520	53.571342
521	41.545932
522	30.050693
523	19.211663
524	9.131876
525	-0.107400
526	-8.445301
527	-15.839928
528	-22.266840
529	-27.717511
530	-32.197761
531	-35.726193
532	-38.332637
533	-40.056628
534	-40.945921
535	-41.055054
536	-40.443977
537	-39.176745
538	-37.320283
539	-34.943233
540	-32.114879
541	-28.904166
542	-25.378792
543	-21.604403
544	-17.643868
545	-13.556640
546	-9.398212
547	-5.219652
548	-1.067219
549	3.017937
550	7.000000
551	10.848637
552	14.539084
553	18.052159
554	21.374221
555	24.497066
556	27.417771
557	30.138497
558	32.666242
559	35.012555
560	37.193222
561	39.227920
562	41.139840
563	42.955301
564	44.703340
565	46.415289
566	48.124353
567	49.865174
568	51.673400
569	53.585256
570	55.637124
571	57.865127
572	60.304732
573	62.990361
574	65.955031
575	69.230000
576	72.844445
577	76.825161
578	81.196283
579	85.979040
580	91.191529
581	96.848525
582	102.961315
583	109.537567
584	116.581224
585	124.092430
586	132.067487
587	140.498840
588	149.375094
589	158.681055
590	168.397801
591	178.502784
592	188.969949
593	199.769885
594	210.869994
595	222.234686
596	233.825590
597	245.601786
598	257.520052
599	269.535131
600	281.600000
601	293.666163
602	305.683946
603	317.602799
604	329.371606
605	340.938999
606	352.253671
607	363.264689
608	373.921805
609	384.175767
610	393.978612
611	403.283967
612	412.047326
613	420.226326
614	427.781004
615	434.674045
616	440.871005
617	446.340531
618	451.054547
619	454.988435
620	458.121185
621	460.435528
622	461.918048
623	462.559272
624	462.353729
625	461.300000
626	459.400727
627	456.662613
628	453.096388
629	448.716759
630	443.542329
631	437.595497
632	430.902338
633	423.492452
634	415.398805
635	406.657536
636	397.307756
637	387.391320
638	376.952590
639	366.038175
640	354.696663
641	342.978336
642	330.934876
643	318.619060
644	306.084453
645	293.385084
646	280.575130
647	267.708589
648	254.838960
649	242.018919
650	229.300000
651	216.732286
652	204.364102
653	192.241722
654	180.409085
655	168.907527
656	157.775528
657	147.048472
658	136.758434
659	126.933982
660	117.600002
661	108.777550
662	100.483725
663	92.731572
664	85.530013
665	78.883800
666	72.793509
667	67.255554
668	62.262237
669	57.801826
670	53.858671
671	50.413342
672	47.442803
673	44.920618
674	42.817185
675	41.100000
676	39.733945
677	38.681610
678	37.903637
679	37.359081
680	37.005807
681	36.800891
682	36.701048
683	36.663069
684	36.644272
685	36.602958
686	36.498878
687	36.293690
688	35.951427
689	35.438948
690	34.726383
691	33.787564
692	32.600432
693	31.147428
694	29.415847
695	27.398165
696	25.092326
697	22.501986
698	19.636714
699	16.512130
700	13.150000
701	9.578258
702	5.830971
703	1.948225
704	-2.024054
705	-6.034367
706	-10.025981
707	-13.937357
708	-17.702671
709	-21.252411
710	-24.514078
711	-27.412975
712	-29.873084
713	-31.818039
714	-33.172193
715	-33.861768
716	-33.816091
717	-32.968913
718	-31.259804
719	-28.635616
720	-25.052004
721	-20.475001
722	-14.882634
723	-8.266560
724	-0.633724
725	7.992000
726	17.568182
727	28.032257
728	39.300020
729	51.264207
730	63.793206
731	76.729920
732	89.890820
733	103.065228
734	116.014865
735	128.473712
736	140.148236
737	150.718029
738	159.836913
739	167.134582
740	172.218834
741	174.678475
742	174.086960
743	170.006856
744	161.995217
745	149.609947
746	132.417271
747	110.000397
748	81.969491
749	47.973080
750	7.711000
751	-39.050963
752	-92.464623
753	-152.580967
754	-219.329606
755	-292.495939
756	-371.695853
757	-456.347781
758	-545.641923
759	-638.506426
760	-733.570312
761	-829.122937
762	-923.069725
763	-1012.883961
764	-1095.554352
765	-1167.528109
766	-1224.649257
767	-1262.091863
768	-1274.287899
769	-1254.849378
770	-1196.484454
771	-1090.907106
772	-928.740053
773	-699.410488
774	-391.038251
775	9.684000
