x	y
475	0.006540
476	-338.572031
477	-555.781900
478	-676.835386
479	-723.986388
480	-716.443593
481	-670.426781
482	-599.323871
483	-513.914911
484	-422.636348
485	-331.864951
486	-246.205714
487	-168.772204
488	-101.451133
489	-45.145694
490	0.005698
491	34.436867
492	58.987888
493	74.764987
494	83.024968
495	85.082322
496	82.236859
497	75.719527
498	66.654054
499	56.032056
500	44.699366
501	33.351483
502	22.536213
503	12.661765
504	4.008786
505	-3.255000
506	-9.058651
507	-13.411310
508	-16.385689
509	-18.102317
510	-18.714996
511	-18.397765
512	-17.333561
513	-15.704683
514	-13.685062
515	-11.434297
516	-9.093345
517	-6.781740
518	-4.596164
519	-2.610188
520	-0.875000
521	0.579081
522	1.740487
523	2.613852
524	3.217201
525	3.579020
526	3.735334
527	3.726897
528	3.596594
529	3.387112
530	3.138934
531	2.888694
532	2.667897
533	2.502027
534	2.410004
535	2.404000
536	2.489555
537	2.665979
538	2.926991
539	3.261540
540	3.654777
541	4.089129
542	4.545414
543	5.003983
544	5.445819
545	5.853579
546	6.212542
547	6.511435
548	6.743118
549	6.905120
550	7.000000
551	7.035554
552	7.024842
553	6.986063
554	6.942269
555	6.920948
556	6.953476
557	7.074474
558	7.321066
559	7.732093
560	8.347268
561	9.206327
562	10.348175
563	11.810058
564	13.626785
565	15.830000
566	18.447543
567	21.502895
568	25.014724
569	28.996542
570	33.456479
571	38.397166
572	43.815745
573	49.703983
574	56.048500
575	62.831099
576	70.029180
577	77.616242
578	85.562448
579	93.835241
580	102.400000
581	111.220718
582	120.260687
583	129.483176
584	138.852079
585	148.332532
586	157.891479
587	167.498169
588	177.124584
589	186.745787
590	196.340178
591	205.889656
592	215.379688
593	224.799279
594	234.140847
595	243.400000
596	252.575239
597	261.667566
598	270.680030
599	279.617210
600	288.484647
601	297.288239
602	306.033618
603	314.725509
604	323.367102
605	331.959439
606	340.500836
607	348.986353
608	357.407322
609	365.750949
610	374.000000
611	382.132574
612	390.121979
613	397.936712
614	405.540550
615	412.892746
616	419.948341
617	426.658582
618	432.971444
619	438.832243
620	444.184350
621	448.969972
622	453.131002
623	456.609923
624	459.350752
625	461.300000
626	462.407641
627	462.628070
628	461.921027
629	460.252480
630	457.595441
631	453.930701
632	449.247469
633	443.543907
634	436.827537
635	429.115516
636	420.434771
637	410.821985
638	400.323433
639	388.994657
640	376.900000
641	364.111979
642	350.710526
643	336.782086
644	322.418603
645	307.716394
646	292.774928
647	277.695543
648	262.580099
649	247.529613
650	232.642876
651	218.015091
652	203.736555
653	189.891397
654	176.556411
655	163.800000
656	151.681244
657	140.249128
658	129.541937
659	119.586828
660	110.399604
661	101.984687
662	94.335301
663	87.433859
664	81.252557
665	75.754171
666	70.893027
667	66.616152
668	62.864570
669	59.574724
670	56.680000
671	54.112316
672	51.803749
673	49.688163
674	47.702798
675	45.789790
676	43.897575
677	41.982151
678	40.008152
679	37.949707
680	35.791062
681	33.526918
682	31.162491
683	28.713265
684	26.204426
685	23.670000
686	21.151667
687	18.697306
688	16.359264
689	14.192401
690	12.251946
691	10.591216
692	9.259254
693	8.298460
694	7.742268
695	7.612971
696	7.919752
697	8.657010
698	9.803070
699	11.319339
700	13.150000
701	15.222292
702	17.447445
703	19.722305
704	21.931676
705	23.951386
706	25.652064
707	26.903582
708	27.580105
709	27.565645
710	26.760001
711	25.084921
712	22.490312
713	18.960260
714	14.518635
715	9.234000
716	3.223522
717	-3.344403
718	-10.249153
719	-17.218809
720	-23.933331
721	-30.030263
722	-35.113213
723	-38.763310
724	-40.553765
725	-40.067577
726	-36.918305
727	-30.773725
728	-21.382001
729	-8.599854
730	7.578000
731	26.989081
732	49.274228
733	73.850968
734	99.890852
735	126.302733
736	151.724197
737	174.523634
738	192.815609
739	204.492445
740	207.274946
741	198.785302
742	176.645064
743	138.600850
744	82.680040
745	7.378000
746	-88.122542
747	-203.700660
748	-338.017370
749	-488.211389
750	-649.578012
751	-815.242100
752	-975.840562
753	-1119.234994
754	-1230.281574
755	-1290.693023
756	-1279.036602
757	-1170.923023
758	-939.453948
759	-556.010783
760	8.515000
761	781.929392
762	1788.237028
763	3044.264595
764	4555.203735
765	6308.834861
766	8268.152248
767	10362.064040
768	12473.787615
769	14426.500450
770	15965.738346
771	16737.955779
772	16264.576219
773	13910.762539
774	8848.027835
775	9.684000
